2021-11-01 19:12:58,651 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-11-01 19:12:58,678 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-11-01 19:12:58,679 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-11-01 19:12:58,679 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-11-01 19:12:58,681 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-11-01 19:12:58,682 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-11-01 19:12:58,683 INFO  SwAddin.cs: 201 - Setting up command manager
2021-11-01 19:12:58,683 INFO  SwAddin.cs: 204 - Adding command manager
2021-11-01 19:12:58,686 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-11-01 19:12:58,687 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-11-01 19:12:58,687 INFO  SwAddin.cs: 210 - Adding event handlers
2021-11-01 19:12:58,690 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-11-01 19:30:34,401 INFO  SwAddin.cs: 294 - Assembly export called for file trolley
2021-11-01 19:30:36,595 INFO  SwAddin.cs: 313 - Saving assembly
2021-11-01 19:30:43,406 INFO  SwAddin.cs: 316 - Opening property manager
2021-11-01 19:30:43,419 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from trolley
2021-11-01 19:30:43,424 INFO  ExportHelperExtension.cs: 1136 - Found 42 in trolley
2021-11-01 19:30:43,425 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in trolley
2021-11-01 19:30:43,425 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-11-01 19:30:43,426 INFO  ExportHelperExtension.cs: 1160 - 7 components to check
2021-11-01 19:30:43,428 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from rear wheel-1
